,logFC,logCPM,F,PValue,FDR
ENSG00000153064,-0.5732055127303027,3.793464291057891,30.020214077534344,7.375454750047e-07,1.7203470356736134e-06
ENSG00000075618,0.7581342636995188,3.1298039533368844,29.828726082648824,7.891712195043904e-07,1.8363407223082933e-06
ENSG00000142541,0.1662206253317622,11.94558868043483,29.72072674480324,8.199198741041474e-07,1.9033151993592678e-06
ENSG00000164032,0.3779527853409255,9.56779592652465,29.68940446321554,8.29067127973061e-07,1.919944927937615e-06
ENSG00000087074,-0.2722236691542382,8.323992215856448,29.58388957909239,8.606642037607709e-07,1.9883602607170076e-06
ENSG00000011422,0.2342381378394399,9.86654950605949,29.316350611520956,9.464769267584624e-07,2.1814039645290275e-06
ENSG00000150687,0.5151517773624498,3.730215191441746,28.49989433018402,1.2672668001234593e-06,2.9138105998088093e-06
ENSG00000103888,-0.6446322417690737,3.4420663220061165,28.412462754716397,1.545160214997465e-06,3.544348550041579e-06
ENSG00000172965,0.2991121147472748,7.793574072280255,27.90531229262481,1.5701580984168989e-06,3.593175033729452e-06
ENSG00000136942,0.15303215035700388,11.391208486117193,27.62817426457273,1.7360001666571038e-06,3.963321135198294e-06
ENSG00000056558,0.637937976768633,3.981369973604429,27.61791890577101,1.7424733467804175e-06,3.9687392933728105e-06
ENSG00000100906,-0.25502620878512355,9.97784615186054,27.387918928870498,1.8943882019084624e-06,4.304619200580731e-06
ENSG00000131981,0.27804351603347754,11.755813074659944,27.24761845118751,1.9937129932789268e-06,4.519705333709604e-06
ENSG00000278006,-0.36917950455438975,12.229393676614517,27.161666926013964,2.057204116133922e-06,4.652742019667375e-06
ENSG00000124172,0.1634557210073396,11.512986902729189,27.073264608317384,2.124686870981229e-06,4.79416524734226e-06
ENSG00000074966,-0.6011748485519202,4.435508395091075,27.0476739474661,2.1446454031644707e-06,4.827945930844669e-06
ENSG00000117090,0.6991699175827147,3.9847363167033043,27.067549280001177,2.1927898637385235e-06,4.9248737542897695e-06
ENSG00000084207,-0.16963174797568845,9.629631187990874,26.905570410970228,2.2590520598870306e-06,5.061949986043162e-06
ENSG00000206478,-0.6154441090791261,6.670542670789395,26.743660886798228,2.3971201131519957e-06,5.35891979106497e-06
ENSG00000172889,-0.7514576046258322,3.2380558779902233,26.729427484250916,2.40966716296207e-06,5.374557174532912e-06
ENSG00000101445,-0.6259340502571592,2.7883175296986735,26.73768321836969,2.472859355254425e-06,5.502822657209847e-06
ENSG00000137285,0.4239455861591364,4.558018922090651,26.854015100746707,2.773449428360413e-06,6.157566620763486e-06
ENSG00000139187,-0.5169940998730972,5.633589804500757,25.595273485898424,3.6633700395540817e-06,8.11474187251339e-06
ENSG00000102096,-0.5058967267176726,3.434751405673701,25.17084911788459,4.291523844665239e-06,9.484463656703086e-06
ENSG00000196628,-0.4031247870529067,6.349423624953471,25.128749512624633,4.359620870115045e-06,9.613013672599917e-06
ENSG00000008517,-0.5371293122055442,4.281204259758759,25.0732750577919,4.4510605335005765e-06,9.79233317370127e-06
ENSG00000161016,0.14917963365029488,11.561289847622044,24.89035255707031,4.766866044861573e-06,1.0463325014571435e-05
ENSG00000197958,0.15154462161156068,12.051765589530662,24.860032641243382,4.8214076317723386e-06,1.055910087682268e-05
ENSG00000181163,0.16465301660367176,9.35708025798853,24.62401791745305,5.26863835266422e-06,1.1500967052021518e-05
ENSG00000283813,0.3249656805958549,5.352034924806669,24.759033519046262,5.275236953613176e-06,1.1500967052021518e-05
ENSG00000115604,-0.6404507024440834,3.0032025543604477,24.573286669543734,5.508325127955532e-06,1.1982154435642595e-05
ENSG00000135047,0.20607278159659112,10.750162460684116,24.355860349723997,5.82918161768193e-06,1.2651676694879166e-05
ENSG00000006327,0.45011566882064746,4.799328985431535,24.085799760440164,6.4562143847622735e-06,1.3981242784004207e-05
ENSG00000122254,0.7120838715422708,7.016921428182733,24.059759753477113,6.5202498539646775e-06,1.4088397005887964e-05
ENSG00000102265,-0.33483297580330496,10.132758465028656,24.039173785728863,6.57133748369611e-06,1.4167159653046402e-05
ENSG00000150991,-0.18988889801101122,9.980247246895898,23.956475516671574,6.780771969385448e-06,1.4586193925255808e-05
ENSG00000185745,-0.5617663649130873,4.41168384339736,23.935218135648306,6.835712783512218e-06,1.4671773779245736e-05
ENSG00000189403,0.20468523787880136,9.646172899563693,23.850562993681645,7.0591124988787545e-06,1.5117745351581051e-05
ENSG00000125534,0.2407575268940489,10.58734923067327,23.75528187909812,7.319600535701374e-06,1.5641000703220595e-05
ENSG00000166165,1.1542774393438857,3.706258206098687,23.195817307531236,9.063131057316156e-06,1.9324032738947224e-05
ENSG00000177989,-0.2778652935424108,6.272502522943919,22.9646622655053,9.904013032595338e-06,2.1069336512794986e-05
ENSG00000069493,0.4553909030550716,4.501508596964969,22.959096919218396,9.925224638258796e-06,2.1069336512794986e-05
ENSG00000139289,0.22980282168782942,7.7929961330081206,22.939021743599863,1.0002129548921014e-05,2.1186129985460702e-05
ENSG00000198727,-0.1353462348387012,12.983401787528067,22.932675875081312,1.0026567495907361e-05,2.119152256776927e-05
ENSG00000235385,-0.7936377245077112,5.068294585779412,22.567173178367764,1.1543586573533894e-05,2.434464445137431e-05
